pattern,timestamp,minute_1_time,minute_2_time,minute_3_time,first_open,last_next_open,total_change,change_1,change_2,change_3,volume
PNP,2025-08-20 14:57:00,14:57:00,14:58:00,14:59:00,638.1700,638.0500,-0.1200,0.1300,-0.3800,0.1300,2634847.0
NNP,2025-08-20 15:00:00,15:00:00,15:01:00,15:02:00,638.0500,637.9500,-0.1000,-0.0100,-0.1300,0.0400,534293.0
PPP,2025-08-20 15:03:00,15:03:00,15:04:00,15:05:00,637.9500,638.0400,0.0900,0.0600,0.0200,0.0100,734225.0
NNO,2025-08-20 15:06:00,15:06:00,15:07:00,15:08:00,638.0400,637.9900,-0.0500,-0.0200,-0.0300,0.0000,381388.0
PNN,2025-08-20 15:09:00,15:09:00,15:10:00,15:11:00,637.9900,637.9300,-0.0600,0.0100,-0.0300,-0.0400,5103651.0
PNP,2025-08-20 15:12:00,15:12:00,15:13:00,15:14:00,637.9300,638.0000,0.0700,0.0700,-0.0700,0.0700,1141598.0
NNP,2025-08-20 15:15:00,15:15:00,15:16:00,15:17:00,638.0000,637.9495,-0.0505,-0.0600,-0.0500,0.0595,507400.0
NNN,2025-08-20 15:18:00,15:18:00,15:19:00,15:20:00,637.9495,637.8400,-0.1095,-0.0895,-0.0100,-0.0100,20089.0
PPN,2025-08-20 15:21:00,15:21:00,15:22:00,15:23:00,637.8400,637.8500,0.0100,0.0300,0.0200,-0.0400,10929.0
PPN,2025-08-20 15:24:00,15:24:00,15:25:00,15:26:00,637.8500,637.8300,-0.0200,0.0100,0.0100,-0.0400,5162.0
NPP,2025-08-20 15:27:00,15:27:00,15:28:00,15:29:00,637.8300,637.8500,0.0200,-0.0400,0.0300,0.0300,17453.0
PPN,2025-08-20 15:30:00,15:30:00,15:31:00,15:33:00,637.8500,637.8800,0.0300,0.0300,0.0200,-0.0200,4878.0
OPN,2025-08-20 15:34:00,15:34:00,15:35:00,15:36:00,637.8800,637.9200,0.0400,0.0000,0.0500,-0.0100,4221.0
PPP,2025-08-20 15:37:00,15:37:00,15:38:00,15:39:00,637.9200,637.9800,0.0600,0.0300,0.0295,0.0005,4571.0
ONP,2025-08-20 15:40:00,15:40:00,15:41:00,15:43:00,637.9800,637.9800,0.0000,0.0000,-0.0200,0.0200,2559.0
NPN,2025-08-20 15:44:00,15:44:00,15:45:00,15:46:00,637.9800,637.9500,-0.0300,-0.0300,0.0100,-0.0100,31339.0
NNP,2025-08-20 15:47:00,15:47:00,15:48:00,15:49:00,637.9500,637.9000,-0.0500,-0.0500,-0.0300,0.0300,15312.0
PPP,2025-08-20 15:50:00,15:50:00,15:51:00,15:52:00,637.9000,638.0900,0.1900,0.0601,0.0999,0.0300,8610.0
PNP,2025-08-20 15:53:00,15:53:00,15:54:00,15:55:00,638.0900,638.1000,0.0100,0.0401,-0.0501,0.0200,30479.0
OPP,2025-08-20 15:56:00,15:56:00,15:57:00,15:58:00,638.1000,638.1200,0.0200,0.0000,0.0100,0.0100,7415.0
NNN,2025-08-20 15:59:00,15:59:00,16:00:00,16:01:00,638.1200,637.9500,-0.1700,-0.1200,-0.0300,-0.0200,13077.0
PNP,2025-08-20 16:02:00,16:02:00,16:03:00,16:04:00,637.9500,637.9508,0.0008,0.0300,-0.0300,0.0008,14527.0
NOP,2025-08-20 16:05:00,16:05:00,16:06:00,16:07:00,637.9508,637.9600,0.0092,-0.0008,0.0000,0.0100,9603.0
NPN,2025-08-20 16:08:00,16:08:00,16:09:00,16:10:00,637.9600,637.9600,0.0000,-0.0100,0.0300,-0.0200,1803.0
OPP,2025-08-20 16:11:00,16:11:00,16:12:00,16:14:00,637.9600,637.9900,0.0300,0.0000,0.0100,0.0200,10663.0
NPP,2025-08-20 16:19:00,16:19:00,16:20:00,16:21:00,637.9900,638.0400,0.0500,-0.0200,0.0200,0.0500,6526.0
